Organism	Species	File
Human	Homo sapiens	GFF3
Mouse	Mus musculus	GFF3
Zebrafish	Danio rerio	GFF3
Alpaca	Vicugna pacos	GFF3
Amazon molly	Poecilia formosa	GFF3
Anole lizard	Anolis carolinensis	GFF3
Armadillo	Dasypus novemcinctus	GFF3
Bushbaby	Otolemur garnettii	GFF3
C.intestinalis	Ciona intestinalis	GFF3
C.savignyi	Ciona savignyi	GFF3
Caenorhabditis elegans	Caenorhabditis elegans	GFF3
Cat	Felis catus	GFF3
Cave fish	Astyanax mexicanus	GFF3
Chicken	Gallus gallus	GFF3
Chimpanzee	Pan troglodytes	GFF3
Chinese softshell turtle	Pelodiscus sinensis	GFF3
Cod	Gadus morhua	GFF3
Coelacanth	Latimeria chalumnae	GFF3
Cow	Bos taurus	GFF3
Dog	Canis lupus familiaris	GFF3
Dolphin	Tursiops truncatus	GFF3
Duck	Anas platyrhynchos	GFF3
Elephant	Loxodonta africana	GFF3
Ferret	Mustela putorius furo	GFF3
Flycatcher	Ficedula albicollis	GFF3
Fruitfly	Drosophila melanogaster	GFF3
Fugu	Takifugu rubripes	GFF3
Gibbon	Nomascus leucogenys	GFF3
Gorilla	Gorilla gorilla gorilla	GFF3
Guinea Pig	Cavia porcellus	GFF3
Hedgehog	Erinaceus europaeus	GFF3
Horse	Equus caballus	GFF3
Hyrax	Procavia capensis	GFF3
Kangaroo rat	Dipodomys ordii	GFF3
Lamprey	Petromyzon marinus	GFF3
Lesser hedgehog tenrec	Echinops telfairi	GFF3
Macaque	Macaca mulatta	GFF3
Marmoset	Callithrix jacchus	GFF3
Medaka	Oryzias latipes	GFF3
Megabat	Pteropus vampyrus	GFF3
Microbat	Myotis lucifugus	GFF3
Mouse	Mus musculus	GFF3
Mouse Lemur	Microcebus murinus	GFF3
Mouse WSB/EiJ	Mus musculus domesticus	GFF3
Olive baboon	Papio anubis	GFF3
Opossum	Monodelphis domestica	GFF3
Orangutan	Pongo abelii	GFF3
Panda	Ailuropoda melanoleuca	GFF3
Pig	Sus scrofa	GFF3
Pika	Ochotona princeps	GFF3
Platyfish	Xiphophorus maculatus	GFF3
Platypus	Ornithorhynchus anatinus	GFF3
Rabbit	Oryctolagus cuniculus	GFF3
Rat	Rattus norvegicus	GFF3
Saccharomyces cerevisiae	Saccharomyces cerevisiae	GFF3
Sheep	Ovis aries	GFF3
Shrew	Sorex araneus	GFF3
Sloth	Choloepus hoffmanni	GFF3
Spotted gar	Lepisosteus oculatus	GFF3
Squirrel	Ictidomys tridecemlineatus	GFF3
Stickleback	Gasterosteus aculeatus	GFF3
Tarsier	Carlito syrichta	GFF3
Tasmanian devil	Sarcophilus harrisii	GFF3
Tetraodon	Tetraodon nigroviridis	GFF3
Tilapia	Oreochromis niloticus	GFF3
Tree Shrew	Tupaia belangeri	GFF3
Turkey	Meleagris gallopavo	GFF3
Vervet-AGM	Chlorocebus sabaeus	GFF3
Wallaby	Notamacropus eugenii	GFF3
Xenopus	Xenopus tropicalis	GFF3
Zebra Finch	Taeniopygia guttata	GFF3
