# Program:featureCounts v1.5.3; Command:"featureCounts" "-Q" "10" "-T" "3" "-a" "/home/hub/genomes/Hsapiens/Homo_sapiens.GRCh38.90.chr1.gtf" "-o" "/home/hub/RNA_Practical/aligned/counts/counts.out" "/home/hub/RNA_Practical/aligned/bam/sampleB3.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleA3.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleB1.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleA2.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleA1.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleB2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/hub/RNA_Practical/aligned/bam/sampleB3.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleA3.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleB1.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleA2.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleA1.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleB2.sorted.bam
ENSG00000223972	1;1;1;1;1;1;1;1;1	11869;12010;12179;12613;12613;12975;13221;13221;13453	12227;12057;12227;12721;12697;13052;13374;14409;13670	+;+;+;+;+;+;+;+;+	1735	0	1	6	1	4	3
ENSG00000227232	1;1;1;1;1;1;1;1;1;1;1	14404;15005;15796;16607;16858;17233;17606;17915;18268;24738;29534	14501;15038;15947;16765;17055;17368;17742;18061;18366;24891;29570	-;-;-;-;-;-;-;-;-;-;-	1351	1418	432	932	312	530	1085
ENSG00000278267	1	17369	17436	-	68	0	0	0	0	0	0
ENSG00000243485	1;1;1;1;1	29554;30267;30564;30976;30976	30039;30667;30667;31109;31097	+;+;+;+;+	1021	0	0	0	0	0	0
ENSG00000284332	1	30366	30503	+	138	0	0	0	0	0	0
ENSG00000237613	1;1;1;1;1	34554;35245;35277;35721;35721	35174;35481;35481;36073;36081	-;-;-;-;-	1219	11	4	0	4	8	9
ENSG00000268020	1	52473	53312	+	840	0	0	0	0	0	0
ENSG00000240361	1;1;1;1	57598;58700;62916;62949	57653;58856;64116;63887	+;+;+;+	1414	0	0	0	0	0	0
ENSG00000186092	1;1;1;1	65419;65520;69037;69055	65433;65573;71585;70108	+;+;+;+	2618	0	0	0	0	0	0
ENSG00000238009	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	89295;92091;92230;110953;112700;112700;112700;120721;120725;120775;120874;129055;129055;129055;129081;133374;133374	91629;92240;92240;111357;112804;112804;112804;120932;120869;120932;120932;129173;129223;129217;129223;133566;133723	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3726	0	4	4	0	1	1
ENSG00000239945	1;1	89551;90287	90050;91105	-;-	1319	0	0	0	0	0	0
ENSG00000233750	1	131025	134836	+	3812	46	25	46	17	53	46
ENSG00000268903	1	135141	135895	-	755	18	56	34	26	9	31
ENSG00000269981	1	137682	137965	-	284	24	65	47	33	15	32
ENSG00000239906	1;1	139790;140075	139847;140339	-;-	323	0	0	0	0	0	0
ENSG00000241860	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	141474;142808;146386;146386;146386;146642;155767;164263;165884;165889;168100;168100;168610;169049;172557;173753	143011;143011;146509;146509;149707;146831;155831;164791;165942;165942;168165;168165;168767;169264;172688;173862	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6195	211	134	186	181	174	227
ENSG00000222623	1	157784	157887	-	104	0	0	0	0	0	0
ENSG00000241599	1;1	160446;161314	160690;161525	+;+	457	0	0	0	0	0	0
ENSG00000279928	1;1;1;1;1	182696;183132;183494;183740;183981	182746;183216;183571;183901;184174	+;+;+;+;+	570	0	0	0	0	0	0
ENSG00000279457	1;1;1;1;1;1;1;1;1;1	185217;185491;186317;187129;187376;187755;188130;188439;188791;195263	185350;185559;186469;187287;187577;187890;188266;188584;188902;195411	-;-;-;-;-;-;-;-;-;-	1397	169	24	107	20	82	115
ENSG00000273874	1	187891	187958	-	68	0	0	0	0	0	0
ENSG00000228463	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	257864;257913;258144;258524;258568;261550;263015;264604;267303;267303;268667;268667;268667;289266;297345;356685;358049;359345	259025;259025;259025;259025;259024;261634;268204;264733;268204;268204;268816;268816;268816;289370;297502;357586;358183;359681	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8224	123	73	164	94	64	59
ENSG00000236679	1	347982	348366	-	385	7	0	3	5	6	0
ENSG00000236601	1;1;1;1;1;1	358857;358872;360057;365171;365171;365171	358929;358957;360168;365510;366052;365704	+;+;+;+;+;+	1095	0	0	0	0	0	0
ENSG00000237094	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	365389;365395;365615;366019;368251;373144;373182;379769;379769;476364;484832;485026;485040;485040;485066;489361;494382;494464;494475;494611;494771;494992;494992;494992;494992;494992;495277;495277;496264;497109;497109;497109;497134;497205;497210;497240;497245;497275;498047;498073;498073;498073;498281;498399;498399;498399;498399;498399;498399;498399;498399;498684;498684;498684;498684;498984;501556;501556;501556;501556;501556;501588;501604;502187;502465;502465;502465;502465;502465;502862;504470;504865;504980;504980;514359;514359;514359;514359;517156;517185;517185;522859	365692;365692;365692;366151;368450;373323;373323;379870;379972;476945;485208;485208;485208;485208;485208;489553;494586;494898;494898;494898;494898;495049;495049;495049;495049;495049;495368;495476;496605;497299;497299;497259;497299;497228;497299;497299;497299;497299;498305;498305;498305;498305;498305;498456;498976;498456;498456;498456;498456;498456;498456;499175;499002;498976;499175;499369;501607;501620;501620;501620;501620;501620;501620;502243;502661;502598;502873;502598;502508;502955;504933;505103;505103;505103;514423;514423;514413;514423;517225;517266;517252;522928	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6204	9	4	4	8	7	2
ENSG00000269732	1	439870	440232	+	363	0	0	0	0	0	0
ENSG00000284733	1	450703	451697	-	995	0	0	0	0	0	0
ENSG00000233653	1;1	487101;489717	489387;489906	+;+	2477	1	6	2	1	2	1
ENSG00000250575	1;1	491225;492768	491989;493241	-;-	1239	73	27	17	40	18	40
ENSG00000278757	1	516376	516479	-	104	0	0	0	0	0	0
ENSG00000230021	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	586071;586278;586821;586821;586945;588117;594191;594198;594308;594308;594308;594629;597299;601398;601398;601398;601398;601398;601436;607955;607955;607955;607955;607955;612741;612741;627377;627961;628919;628919;628919;631131;631131;633044;698927;701936;703685;703685;711711;711711;711867;720024;720032;720032;720032;720032;720053;724358;732017;827670;827670	586358;586358;586955;586955;586955;588453;594756;594756;594756;594756;594756;594756;598551;601577;601577;601577;601577;601577;601577;608056;608056;608056;608056;608056;612864;612813;627823;628223;629006;629006;629006;631150;631204;633129;698959;702340;703789;703789;711922;711922;711922;720206;720200;720150;720200;720194;720200;724564;732212;827796;827769	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5411	7	14	4	38	5	3
ENSG00000235146	1;1;1;1	587629;587668;594235;594235	587701;587729;594768;594574	+;+;+;+	635	0	0	0	0	0	0
ENSG00000225972	1	629062	629433	+	372	1305	1339	956	1299	2165	861
ENSG00000225630	1	629640	630683	+	1044	16768	10712	12135	9341	12213	14100
ENSG00000237973	1	631074	632616	+	1543	2930	2361	3393	2785	2620	2270
ENSG00000278791	1	632325	632413	-	89	0	0	0	0	0	0
ENSG00000229344	1	632757	633438	+	682	1183	112	688	65	70	579
ENSG00000240409	1	633535	633741	+	207	3	0	0	0	1	0
ENSG00000248527	1	633696	634376	+	681	114991	85645	105263	93122	103242	123060
ENSG00000198744	1	634376	634922	+	547	239	73	205	101	91	421
ENSG00000268663	1	674842	675265	+	424	0	0	0	0	0	0
ENSG00000284662	1	685679	686673	-	995	0	0	0	0	0	0
ENSG00000229376	1;1	722092;724718	724360;724903	+;+	2455	1	2	2	6	5	6
